Event Type,Tier 0 (0-275mi),Tier 1 (275-500mi),Tier 2 (500-1000mi),Tier 3 (1000+mi)
House Show - Evening,650,850,950,1050
Wedding Ceremony (1 hour),799,972,1029,1202
Wedding Cocktail (1-2 hours),914,1087,1144,1317
Wedding Dinner Reception (2-3 hours),1029,1202,1259,1432
Wedding Ceremony + Cocktail Reception,1144,1317,1374,1547
Wedding 3-Piece Band (4 hours),3421,3651,3766,3996
